dim_1,dim_2,dim_3,value
1,1,1,3722848634.3563370704650879
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,-2.55339e-63
1,1,6,2.55339e-63
1,1,7,-2.82883e-78
1,1,8,6.11055e-91
1,1,9,-3.38631e-109
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,2,1,0
1,2,2,1468602219.7895028591156006
1,2,3,0
1,2,4,0
1,2,5,1.05893e-48
1,2,6,-1.05893e-48
1,2,7,1.75702e-63
1,2,8,-2.05472e-76
1,2,9,2.47001e-94
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,2,16,0
1,3,1,0
1,3,2,0
1,3,3,605660449.5449552536010742
1,3,4,0
1,3,5,-1.66002e-34
1,3,6,1.66002e-34
1,3,7,-4.17808e-49
1,3,8,2.65364e-62
1,3,9,-6.87919e-80
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,257800900.2427725791931152
1,4,5,1.27952e-20
1,4,6,-1.27952e-20
1,4,7,5.00741e-35
1,4,8,-1.74944e-48
1,4,9,9.81137e-66
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,4,16,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,107352769.3131399154663086
1,5,6,0.0000005228429551
1,5,7,-3.3196e-21
1,5,8,6.53949e-35
1,5,9,-8.03602e-52
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,5,16,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0.0000029771801328
1,6,6,37635385.7876758053898811
1,6,7,0.0000001244454542
1,6,8,-1.4423e-21
1,6,9,3.98082e-38
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,0
1,6,14,0
1,6,15,0
1,6,16,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,-1.60282e-20
1,7,6,0.0000004366336256
1,7,7,7685628.4310486279428005
1,7,8,0.0000000187376671
1,7,9,-1.21198e-24
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0
1,7,14,0
1,7,15,0
1,7,16,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,3.9454e-35
1,8,6,-1.30331e-21
1,8,7,0.000000034898952
1,8,8,392020.859480535145849
1,8,9,0.0000000000223566
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0
1,8,14,0
1,8,15,0
1,8,16,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,-3.51242e-51
1,9,6,1.37656e-37
1,9,7,-4.56288e-24
1,9,8,0.000000000044459
1,9,9,763.364281118076633
1,9,10,0
1,9,11,0
1,9,12,0
1,9,13,0
1,9,14,0
1,9,15,0
1,9,16,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0
1,10,14,0
1,10,15,0
1,10,16,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,0
1,11,12,0
1,11,13,0
1,11,14,0
1,11,15,0
1,11,16,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,0
1,12,13,0
1,12,14,0
1,12,15,0
1,12,16,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,0
1,13,14,0
1,13,15,0
1,13,16,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0
1,14,14,0
1,14,15,0
1,14,16,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0
1,15,14,0
1,15,15,0
1,15,16,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
